0,1,2,3
[ANCHORAGE],anchor,,
[ANCHORAGE],anchor,,
[ANGER],anger,,
[ANGER],anger,,
[ANGER],anger,,
[ANGUISH],anguish,,
[ANGUISH],anguish,,
[ANIMADVERSION],animadvert,,
[ANNIHILATION],annihilate,,
[ANNIHILATION],annihilate,,
[ANNOTATION],annotate,,
[ANNOTATION],annotate,,
[ANNOUNCEMENT],announce,,
[ANNOUNCEMENT],announce,,
[ANNOYANCE],annoy,,
[ANNULMENT],annul,,
[ANNULMENT],annul,,
[ANOINTMENT],anoint,,
[ANSWER],answer,,
[ANSWER],answer,,
[ANSWER],answer,,
[ANSWER],answer,,
[ANSWER],answer,,
[ANTAGONISM],antagonize,antagonise,
[ANTAGONISM],antagonise,,
[ANTAGONISM],antagonize,antagonise,
[ANTE],ante,,
[ANTECEDENT],antecede,,
[ANTHOLOGY],anthologize,anthologise,
[ANTHROPOMORPHISM],anthropomorphize,anthropomorphise,
[ANTIC],antic,,
[APERY],ape,,
[APHORISM],aphorize,aphorise,
[APOLOGY],apologise,,
[APOLOGY],apologize,apologise,
[APOSTROPHE],apostrophize,apostrophise,
[APPARITION],appear,,
[APPEAL],appeal,,
[APPEAL],appeal,,
[APPEARANCE],appear,,
[APPEARANCE],appear,,
[APPEARANCE],appear,,
[APPEARANCE],appear,,
[APPERCEPTION],apperceive,,
[APPLICATION],apply,,
[APPLICATION],apply,,
[APPLICATION],apply,,
[APPLICATION],apply,,
[APPORTIONMENT],apportion,,
[APPOSITION],appose,,
[APPRAISAL],appraise,,
[APPREHENSION],apprehend,,
[APPREHENSION],apprehend,,
[APPREHENSION],apprehend,,
[APPREHENSION],apprehend,,
[APPRISAL],apprise,,
[APPROACH],approach,,
[APPROACH],approach,,
[APPROACH],approach,,
[APPROACH],approach,,
[APPROBATION],approbate,approve,
[APPROBATION],approbate,approve,
[APPROVAL],approbate,approve,
[APPROVAL],approve,,
[APPROVAL],approbate,,
[APPROVAL],approbate,,
[AQUATINT],aquatint,,
[ARBITRAGE],arbitrage,,
[ARBITRAMENT],arbitrate,,
[ARBITRATION],arbitrate,,
[ARBITRATION],arbitrate,,
[ARBITREMENT],arbitrate,,
[ARCHAISM],archaize,archaise,
[ARGUMENT],argue,,
[ARGUMENT],argue,,
[ARGUMENT],argue,,
[ARGUMENTATION],argue,,
[ARGUMENTATION],argue,,
[ARMAMENT],arm,,
[AROMA],aromatize,aromatise,
[AROUSAL],arouse,,
[AROUSAL],arouse,,
[ARRAIGNMENT],arraign,,
[ARRANGEMENT],arrange,,
[ARREST],arrest,,
[ARRIVAL],arrive,,
[ARROGATION],arrogate,,
[ARTICLE],article,,
[ARTICULATION],articulate,,
[ARTICULATION],articulate,,
[ARTICULATION],articulate,,
[ASCENDANCY],ascend,,
[ASCENDER],ascend,,
[ASCENSION],ascend,,
[ASCENSION],ascend,,
[ASCENSION],ascend,,
[ASCENT],ascend,,
[ASCENT],ascend,,
[ASCRIPTION],ascribe,,
[ASPERSION],asperse,,
[ASPERSION],asperse,,
[ASPHYXIA],asphyxiate,,
[ASPHYXIATION],asphyxiate,,
[ASPHYXIATION],asphyxiate,,
[ASPIRATE],aspirate,,
[ASPIRATION],aspirate,,
[ASPIRATION],aspirate,,
[ASPIRATION],aspire,,
[ASSASSINATION],assassinate,,
[ASSASSINATION],assassinate,,
[ASSAULT],assault,,
[ASSAULT],assault,,
[ASSAY],assay,,
[ASSEMBLAGE],assemble,,
[ASSENT],assent,,
[ASSERTION],assert,,
[ASSERTION],assert,,
[ASSESSMENT],assess,,
[ASSESSMENT],assess,,
[ASSEVERATION],asseverate,,
[ASSIBILATION],assibilate,,
[ASSIBILATION],assibilate,,
[ASSIGNATION],assign,,
[ASSIGNMENT],assign,,
[ASSIGNMENT],assign,,
[ASSIGNMENT],assign,,
[ASSIGNMENT],assign,,
[ASSIGNMENT],assign,,
[ASSIGNMENT],assign,,
[ASSIMILATION],assimilate,,
[ASSIMILATION],assimilate,,
[ASSIMILATION],assimilate,,
[ASSIMILATION],assimilate,,
[ASSIMILATION],assimilate,,
[ASSIMILATION],assimilate,,
[ASSIST],assist,,
[ASSISTANCE],assist,,
[ASSOCIATION],associate,,
[ASSOCIATION],associate,,
[ASSOCIATION],associate,,
[ASSOCIATION],associate,,
[ASSOCIATION],associate,,
[ASSONANCE],assonate,,
[ASSORTMENT],assort,,
[ASSUAGEMENT],assuage,,
[ASSUMPTION],assume,,
[ASSUMPTION],assume,,
[ASSUMPTION],assume,,
[ASSUMPTION],assume,,
[ASSURANCE],assure,,
[ASSURANCE],assure,,
[ASTERISK],asterisk,,
[ASTONISHMENT],astonish,,
[ATOMISATION],atomise,,
[ATOMISATION],atomise,,
[ATOMIZATION],atomize,,
[ATOMIZATION],atomize,,
[ATONEMENT],atone,,
[ATONEMENT],atone,,
[ATROPHY],atrophy,,
[ATROPHY],atrophy,,
[ATTACHMENT],attach,,
[ATTACHMENT],attach,,
[ATTACHMENT],attach,,
[ATTACHMENT],attach,,
[ATTACHMENT],attach,,
[ATTACK],attack,,
[ATTACK],attack,,
[ATTACK],attack,,
[ATTACK],attack,,
[ATTAINMENT],attain,,
[ATTAINMENT],attain,,
[ATTEMPT],attempt,,
[ATTENDANCE],attend,,
[ATTENTION],attend,,
[ATTENTION],attend,,
[ATTENTION],attend,,
[ATTENTION],attend,,
[ATTENUATION],attenuate,,
[ATTESTATION],attest,,
[ATTESTATION],attest,,
[ATTITUDE],attitudinize,attitudinise,
[ATTRACTION],attract,,
[ATTRACTION],attract,,
[ATTRACTION],attract,,
[ATTRACTOR],attract,,
[ATTRIBUTION],attribute,,
[AUCTION],auction,,
[AUDIT],audit,,
[AUDITION],audition,,
[AUGMENTATION],augment,,
[AUGMENTATION],augment,,
[AUGURY],inaugurate,,
[AUSCULTATION],auscultate,,
[AUSPICE],auspicate,,
[AUTHENTICATION],authenticate,,
[AUTHENTICATION],authenticate,,
[AUTHORISATION],authorise,,
[AUTHORIZATION],authorize,,
[AUTOGRAPH],autograph,,
[AUTOGRAPH],autograph,,
[AUTOMATION],automate,,
[AUTOMATION],automate,,
[AUTOPSY],autopsy,,
[AUTOTOMY],autotomize,,
[AVALANCHE],avalanche,,
[AVERAGE],average,,
[AVERMENT],aver,,
[AVERSION],avert,,
[AVIATION],aviate,,
[AVOIDANCE],avoid,,
[AVOWAL],avow,,
[AVULSION],avulse,,
[AWAKENING],awaken,,
[AWARD],award,,
[AWARD],award,,
[AWE],awe,,
[BAA],baa,,
[BABBLE],babble,,
[BABBLING],babble,,
[BACKDOWN],back_down,,
[BACKFIRE],backfire,,
[BACKFIRE],backfire,,
[BACKGROUND],background,,
[BACKHAND],backhand,,
[BACKING],back,,
[BACKING],back,,
[BACKLASH],backlash,,
[BACKLOG],backlog,,
[BACKUP],back_up,,
[BACKUP],back_up,,
[BADGE],badge,,
[BAFFLEMENT],baffle,,
[BAIL],bail,,
[BAIL],bail,,
[BAILMENT],bail,,
[BAIT],bait,,
[BAKING],bake,,
[BAKING],bake,,
[BALANCE],balance,,
[BALANCE],balance,,
[BALLOT],ballot,,
[BALLOT],ballot,,
[BALLUP],ball_up,,
[BALLYHOO],ballyhoo,,
[BAN],ban,,
[BAN],ban,,
[BANG],bang,,
[BANG],bang,,
[BANISHMENT],banish,,
[BANISHMENT],banish,,
[BANK],bank,,
[BANKING],bank,,
[BANKING],bank,,
[BANKRUPTCY],bankrupt,,
[BANTER],banter,,
[BAPTISM],baptize,baptise,
[BAR],bar,,
[BAR_MITZVAH],bar_mitzvah,,
[BARBARISATION],barbarise,,
[BARBARIZATION],barbarize,,
[BARGAIN],bargain,,
[BARGAIN],bargain,,
[BARGAINING],bargain,,
[BARK],bark,,
[BARK],bark,,
[BARRAGE],barrage,,
[BARTER],barter,,
[BASE],base,,
[BASH],bash,,
[BASTARDISATION],bastardise,,
[BASTARDIZATION],bastardize,,
[BASTARDIZATION],bastardize,,
[BAT_MITZVAH],bat_mitzvah,,
[BATHE],bathe,,
[BATHING],bathe,,
[BATTING],bat,,
[BATTLE],battle,,
[BATTLE],battle,,
[BAY],bay,,
[BEACON],beacon,,
[BEAM],beam,,
[BEAM],beam,,
[BEANER],bean,,
[BEAT],beat,,
[BEAT],beat,,
[BEAT],beat,,
[BEAT],beat,,
[BEAT],beat,,
[BEATIFICATION],beatify,,
[BEATIFICATION],beatify,,
[BEATIFICATION],beatify,,
[BEATING],beat,,
[BEATING],beat,,
[BEAUTIFICATION],beautify,,
[BEBOP],bebop,,
[BEDEVILMENT],bedevil,,
[BEEF],beef,,
[BEEP],beep,,
[BEFOULMENT],befoul,,
[BEFUDDLEMENT],befuddle,,
[BEGGARY],beg,,
[BEGINNING],begin,,
[BEGINNING],begin,,
[BEGINNING],begin,,
[BEING],be,,
[BELCH],belch,,
[BELIEF],believe,,
[BELIEF],believe,,
[BELL],bell,,
[BELLOW],bellow,,
[BELLOWING],bellow,,
[BELLY_DANCE],belly_dance,,
[BELONGINGS],belong,,
[BELT],belt,,
[BEMUSEMENT],bemuse,,
[BENDER],bend,,
[BENEFACTION],benefact,,
[BENEFACTION],benefact,,
[BENEFICE],benefice,,
[BENEFICIATION],beneficiate,,
[BEREAVEMENT],bereave,,
[BERTH],berth,,
[BESTOWAL],bestow,,
[BESTOWMENT],bestow,,
[BESTOWMENT],bestow,,
[BET],bet,,
[BET],bet,,
[BETRAYAL],betray,,
[BETROTHAL],betroth,,
[BETTERMENT],better,,
[BETTERMENT],better,,
[BEWILDERMENT],bewilder,,
[BEWITCHMENT],bewitch,,
[BIAS],bias,,
[BICKER],bicker,,
[BID],bid,,
[BID],bid,,
[BID],bid,,
[BID],bid,,
[BIDDING],bid,,
[BIDDING],bid,,
[BIDDING],bid,,
[BIFF],biff,,
[BIFURCATION],bifurcate,,
[BILL],bill,,
[BILL],bill,,
[BILLOW],billow,,
[BIND],bind,,
[BINDING],bind,,
[BINGE],binge,,
[BIOASSAY],bioassay,,
[BIRR],birr,,
[BIRTH],die,,
[BIRTH],birth,,
[BIRTH],birth,,
[BISECTION],bisect,,
[BITCH],bitch,,
[BITCHERY],bitch,,
[BITE],bite,,
[BITE],bite,,
[BITE],bite,,
[BIVOUAC],bivouac,,
[BLACK_MARKET],black_market,,
[BLACKBALL],blackball,,
[BLACKLIST],blacklist,,
[BLACKMAIL],blackmail,,
[BLACKOUT],black_out,,
[BLACKOUT],black_out,,
[BLACKOUT],black_out,,
[BLAME],blame,,
[BLAME],blame,,
[BLANDISHMENT],blandish,,
[BLANDISHMENT],blandish,,
[BLARE],blare,,
[BLARNEY],blarney,,
[BLAST],blast,,
[BLAST],blast,,
[BLAST],blast,,
[BLASTOFF],blast_off,,
[BLATHER],blather,,
[BLAZE],blaze,,
[BLEACH],bleach,,
[BLEAT],bleat,,
[BLEEDING],bleed,,
[BLEEP],bleep,,
[BLEND],blend,,
[BLEND],blend,,
[BLESSING],bless,,
[BLESSING],bless,,
[BLETHER],blether,,
[BLIGHT],blight,,
[BLIGHT],blight,,
[BLINK],blink,,
[BLINKER],blink,,
[BLINKING],blink,,
[BLITZ],blitz,,
[BLOAT],bloat,,
[BLOCK],block,,
[BLOCK],block,,
[BLOCKADE],blockade,,
[BLOCKAGE],block,,
[BLOCKAGE],block,,
[BLOCKING],block,,
[BLOOM],bloom,,
[BLOW],blow,,
[BLOW],blow,,
[BLOWING],blow,,
[BLOWOUT],blow_out,,
[BLOWUP],blow_up,,
[BLOWUP],blow_up,,
[BLUEPRINT],blueprint,,
[BLUFF],bluff,,
[BLUFF],bluff,,
[BLUING],blue,,
[BLUNDER],blunder,,
[BLUR],blur,,
[BLUSH],blush,,
[BLUSTER],bluster,,
[BLUSTER],bluster,,
[BLUSTER],bluster,,
[BOAST],boast,,
[BOATING],boat,,
[BOB],bob,,
[BOLDFACE],boldface,,
[BOLT],bolt,,
[BOLT],bolt,,
[BOMB],bomb,,
[BOMBARDMENT],bombard,,
[BOMBARDMENT],bombard,,
[BOMBILATION],bombilate,,
[BOMBINATION],bombinate,,
[BOMBING],bomb,,
[BOND],bond,,
[BOND],bond,,
[BOO],boo,,
[BOOGIE],boogie,,
[BOOKING],book,,
[BOOKING],book,,
[BOOM],boom,,
[BOOM],boom,,
[BOOMERANG],boomerang,,
[BOONDOGGLE],boondoggle,,
[BOOST],boost,,
[BOOST],boost,,
[BOOT],boot,,
[BOP],bop,,
[BORDER],border,,
[BORDER],border,,
[BOSOM],bosom,,
[BOTANY],botanize,botanise,
[BOTCH],botch,,
[BOTHER],bother,,
[BOTHER],bother,,
[BOTHERATION],bother,,
[BOTHERATION],bother,,
[BOTTOM],bottom,,
[BOTTOM],bottom,,
[BOUNCE],bounce,,
[BOUND],bound,,
[BOUND],bound,,
[BOUNDARY],bound,,
[BOW],bow,,
[BOWDLERISATION],bowdlerise,,
[BOWDLERISATION],bowdlerise,,
[BOWDLERIZATION],bowdlerize,,
[BOWDLERIZATION],bowdlerize,,
[BOX],box,,
[BOXING],box,,
[BOXING],box,,
[BOYCOTT],boycott,,
[BRACHIATION],brachiate,,
[BRACKET],bracket,,
[BRACKET],bracket,,
[BRAG],brag,,
[BRAILLE],braille,,
[BRAINSTORM],brainstorm,,
[BRAINSTORMING],brainstorm,,
[BRAND],brand,,
[BRAND],brand,,
[BRANDISH],brandish,,
[BRAVO],bravo,,
[BRAWL],brawl,,
[BRAY],bray,,
[BREACH],breach,,
[BREAK],break,,
[BREAK],break,,
[BREAK],break,,
[BREAK],break,,
[BREAK],break,,
[BREAK],break,,
[BREAK],break,,
[BREAK],break,,
[BREAK-IN],break_in,,
[BREAK_DANCE],break_dance,,
[BREAKAGE],break,,
[BREAKAWAY],break_away,,
[BREAKDOWN],break_down,,
[BREAKDOWN],break_down,,
[BREAKDOWN],break_down,,
[BREAKDOWN],break_down,,
[BREAKDOWN],break_down,,
[BREAKER],break,,
[BREAKOUT],break_out,,
[BREAKTHROUGH],break_through,,
[BREAKUP],break_up,,
[BREAKUP],break_up,,
[BREATHING],breathe,,
[BREEDING],breed,,
[BREEDING],breed,,
[BREEZE],breeze,,
[BREEZE],breeze,,
[BREVET],brevet,,
[BRIBE],bribe,,
[BRIBERY],bribe,,
[BRIDGE],bridge,,
[BRIEF],brief,,
[BRIEFING],brief,,
[BROADCAST],broadcast,,
[BROADCAST],broadcast,,
[BROIL],broil,,
[BROWSE],browse,,
[BROWSER],browse,,
[BRUISE],bruise,,
[BRUSH],brush,,
[BRUSH-OFF],brush_off,,
[BRUSHUP],brush_up,,
[BRUTALISATION],brutalise,,
[BRUTALISATION],brutalise,,
[BRUTALISATION],brutalise,,
[BRUTALIZATION],brutalize,,
[BRUTALIZATION],brutalize,,
[BRUTALIZATION],brutalize,,
[BUDGET],budget,,
[BUDGET],budget,,
[BUGGERY],bugger,,
[BUILDING],build,,
[BUILDING],build,,
[BUILDUP],build_up,,
[BULL],bull,,
[BULLETIN],bulletin,,
[BULLSHIT],bullshit,,
[BUMP],bump,,
[BUNCO],bunco,,
[BUNGLE],bungle,,
[BUNT],bunt,,
[BUOY],buoy,,
[BURDEN],burden,,
[BURGLARY],burgle,burglarize,
[BURIAL],bury,,
[BURIAL],bury,,
[BURLESQUE],burlesque,,
[BURLESQUE],burlesque,,
[BURN],burn,,
[BURN],burn,,
[BURN],burn,,
[BURN],burn,,
[BURP],burp,,
[BURST],burst,,
[BURST],burst,,
[BUSS],buss,,
[BUST],bust,,
[BUSTLE],bustle,,
[BUTCHERY],butcher,,
[BUTCHERY],butcher,,
[BUTT-WELDING],buttweld,butt-weld,
[BUTT_WELDING],buttweld,butt-weld,
[BUY],buy,,
[BUYBACK],buy_back,,
[BUYING],buy,,
[BUYOUT],buy_out,,
[BUZZ],buzz,,
[BUZZ],buzz,,
[CABAL],cabal,,
[CABBAGE],cabbage,,
[CABLE],cable,,
[CACHE],cache,,
[CACHINNATION],cachinnate,,
[CACKLE],cackle,,
[CACKLE],cackle,,
[CACKLE],cackle,,
[CAGE],cage,,
[CAJOLERY],cajole,,
[CAKEWALK],cakewalk,,
[CALCIFICATION],calcify,,
[CALCIFICATION],calcify,,
[CALCIFICATION],calcify,,
[CALCINATION],calcine,,
[CALCULATION],calculate,,
[CALCULATION],calculate,,
[CALCULATION],calculate,,
[CALCULUS],calculate,,
[CALENDAR],calendar,,
[CALIBRATION],calibrate,,
[CALL],call,,
[CALL],call,,
[CALL],call,,
[CALL],call,,
[CALL],call,,
[CALL],call,,
[CALL],call,,
[CALL-BACK],call_back,,
[CALL-BACK],call_back,,
[CALL-IN],call_in,,
[CALL-OUT],call_out,,
[CALL_UP],call_up,,
[CALLBACK],call_back,,
[CALLING],call,,
[CALLUS],callus,,
[CALUMNY],calumniate,,
[CALUMNY],calumniate,,
[CAMOUFLAGE],camouflage,,
[CAMP],camp,,
[CAMPAIGN],campaign,,
[CAMPAIGN],campaign,,
[CAMPAIGN],campaign,,
[CAMPING],camp,,
[CANALISATION],canalise,canal,
[CANALIZATION],canalize,canal,
[CANCEL],cancel,,
[CANCELLATION],cancel,,
[CANCELLATION],cancel,,
[CANKER],canker,,
[CANNON],cannon,,
[CANNONADE],cannonade,,
[CANNULATION],cannulate,,
[CANNULISATION],cannulize,cannulate,
[CANNULIZATION],cannulise,cannulate,
[CANON],canonize,canonise,
[CANONISATION],canonise,,
[CANONIZATION],canonize,,
[CANTER],canter,,
[CANTILLATION],cantillate,,
[CANTON],canton,,
[CANULATION],canulate,,
[CANULISATION],cannulate,,
[CANULIZATION],cannulate,,
[CANVASS],canvass,,
[CAP],cap,,
[CAPER],caper,,
[CAPITAL],capitalize,capitalise,
[CAPITAL],capitalise,,
[CAPITAL],capitalize,capitalise,
[CAPITALISATION],capitalise,,
[CAPITALISATION],capitalise,,
[CAPITALISATION],capitalise,,
[CAPITALIZATION],capitalize,,
[CAPITALIZATION],capitalize,,
[CAPITALIZATION],capitalize,,
[CAPITULATION],capitulate,,
